File aggiornati e verificati. Avvia il gioco dal suo launcher e usa il menu OptiScaler per verificare Neural Rendering. La presenza dei file non certifica l’effetto attivo.	Files updated and verified. Start the game from its launcher and use the OptiScaler menu to check Neural Rendering. File presence does not confirm that the effect is active.
Attendi il completamento dell’operazione in corso.	Wait for the current operation to finish.
DLL DLSS 5 · versioni e ripristino	DLSS 5 DLLs · versions and restore
Neural Rendering · modello DLSS 5	Neural Rendering · DLSS 5 model
Carica ultime 10	Load latest 10
Installa versione scelta	Install selected version
Ultima da NVIDIA	Latest from NVIDIA
Importa DLL…	Import DLL
Ripristina solo questa DLL	Restore this DLL only
Carica varianti dal repository	Load repository variants
Installa modello scelto	Install selected model
Ripristina / rimuovi solo modello	Restore / remove model only
Ripristina DLL precedenti	Restore previous DLLs
Il download non modifica il gioco.	Downloading does not modify the game.
RenoDX · download da Nexus Mods	RenoDX · Nexus Mods download
Apri download Nexus	Open Nexus download
Cartella download…	Download folder
Scarica ora in: 	Download now to: 
Download Nexus assistito: conferma sul sito, poi attendi il rilevamento del pacchetto.	Assisted Nexus download: confirm on the website, then wait for the package to be detected.
Guida di HDLSS	HDLSS help
Menu e comandi principali tradotti. Guide, descrizioni tecniche e log restano in italiano. / Main controls translated; technical help and logs remain in Italian.	English is the default language for new users. Your saved language choice is preserved.
Dati portable: 	Portable data: 
Le scelte vengono salvate automaticamente. Conserva questa cartella quando aggiorni l’app.	Your choices are saved automatically. Keep this folder when updating the app.
Installazione avviata	Installation started
Ripristino avviato	Restore started
Controllo dei file e dei componenti	Checking files and components
Backup creato: puoi recuperare i file precedenti	Backup created: previous files can be recovered
File installati e verificati	Files installed and verified
Verifica dei componenti…	Checking components
Backup dei file originali…	Backing up original files
Operazione completata	Operation completed
Operazione interrotta · consulta il registro	Operation interrupted · check the log
Verifica percorsi, file correnti e hash delle sorgenti	Checking paths, current files and source hashes
Hash finali verificati · operazione completata	Final hashes verified · operation completed
Errore di scrittura · annullamento delle modifiche	Write error · rolling back changes
Modifiche annullate.	Changes rolled back.
Scrittura: 	Writing: 
Rimozione: 	Removing: 
Backup e copia di recupero creati: 	Backup and recovery copy created: 
ERRORE · 	ERROR · 
Preferenze recuperate dalla copia di sicurezza.	Preferences recovered from backup.
Preferenze salvate · overlay 	Preferences saved · overlay 
Tasto dell’overlay	Overlay shortcut
Premi un tasto	Press a key
Salva scorciatoia	Save shortcut
Cartella e configurazione	Folder and configuration
MONITOR E CONSIGLI	MONITOR AND RECOMMENDATIONS
Consigli del monitor	Monitor advice
REGOLAZIONI HDR	HDR SETTINGS
Formato HDR avanzato	Advanced HDR format
Luminanza base interfaccia · nit	Base interface luminance · nits
Moltiplicatore scena ACES · %	ACES scene multiplier · %
Compressione colori ACES	ACES color compression
Composizione UI HDR	HDR UI compositing
Strumenti e parametri motore	Engine tools and parameters
Aggiorna stato lettore	Refresh reader status
Vedi parametri del motore	View engine parameters
Installa lettore UE4SS	Install UE4SS reader
Riattiva lettore UE4SS	Re-enable UE4SS reader
Lettore già installato	Reader already installed
Disattiva lettore	Disable reader
Rileva di nuovo	Detect again
Scegli cartella impostazioni…	Choose settings folder
Monitor non rilevato	Monitor not detected
Inserisci il picco calibrato	Enter the calibrated peak brightness
Dati del display / calibrazione manuale	Display information / manual calibration
Valori iniziali del profilo monitor. Nessuna modifica applicata.	Initial monitor profile values. No changes applied.
Valori iniziali del monitor compilati. Verifica il picco e premi Applica per salvarli.	Initial monitor values filled in. Check the peak brightness and select Apply to save.
Profilo HDR salvato	HDR profile saved
File letti · HDR richiesto: 	Files read · HDR requested: 

Controlla file e percorsi	Check files and paths
File installati	Installed files
